indices,species,family,order
1,Black_footed_Albatross,Diomedeidae,Procellariiformes
2,Laysan_Albatross,Diomedeidae,Procellariiformes
3,Sooty_Albatross,Diomedeidae,Procellariiformes
4,Groove_billed_Ani,Cuculidae,Cuculiformes
5,Crested_Auklet,Alcidae,Charadriiformes
6,Least_Auklet,Alcidae,Charadriiformes
7,Parakeet_Auklet,Alcidae,Charadriiformes
8,Rhinoceros_Auklet,Alcidae,Charadriiformes
9,Brewer_Blackbird,Icteridae,Passeriformes
10,Red_winged_Blackbird,Icteridae,Passeriformes
11,Rusty_Blackbird,Icteridae,Passeriformes
12,Yellow_headed_Blackbird,Icteridae,Passeriformes
13,Bobolink,Icteridae,Passeriformes
14,Indigo_Bunting,Cardinalidae,Passeriformes
15,Lazuli_Bunting,Cardinalidae,Passeriformes
16,Painted_Bunting,Cardinalidae,Passeriformes
17,Cardinal,Cardinalidae,Passeriformes
18,Spotted_Catbird,Ptilonorhynchidae,Passeriformes
19,Gray_Catbird,Mimidae,Passeriformes
20,Yellow_breasted_Chat,Icteriidae,Passeriformes
21,Eastern_Towhee,Passerellidae,Passeriformes
22,Chuck_will_Widow,Caprimulgidae,Caprimulgiformes
23,Brandt_Cormorant,Phalacrocoracidae,Suliformes
24,Red_faced_Cormorant,Phalacrocoracidae,Suliformes
25,Pelagic_Cormorant,Phalacrocoracidae,Suliformes
26,Bronzed_Cowbird,Icteridae,Passeriformes
27,Shiny_Cowbird,Icteridae,Passeriformes
28,Brown_Creeper,Certhiidae,Passeriformes
29,American_Crow,Corvidae,Passeriformes
30,Fish_Crow,Corvidae,Passeriformes
31,Black_billed_Cuckoo,Cuculidae,Cuculiformes
32,Mangrove_Cuckoo,Cuculidae,Cuculiformes
33,Yellow_billed_Cuckoo,Cuculidae,Cuculiformes
34,Gray_crowned_Rosy_Finch,Fringillidae,Passeriformes
35,Purple_Finch,Fringillidae,Passeriformes
36,Northern_Flicker,Picidae,Piciformes
37,Acadian_Flycatcher,Tyrannidae,Passeriformes
38,Great_Crested_Flycatcher,Tyrannidae,Passeriformes
39,Least_Flycatcher,Tyrannidae,Passeriformes
40,Olive_sided_Flycatcher,Tyrannidae,Passeriformes
41,Scissor_tailed_Flycatcher,Tyrannidae,Passeriformes
42,Vermilion_Flycatcher,Tyrannidae,Passeriformes
43,Yellow_bellied_Flycatcher,Tyrannidae,Passeriformes
44,Frigatebird,Fregatidae,Suliformes
45,Northern_Fulmar,Procellariidae,Procellariiformes
46,Gadwall,Anatidae,Anseriformes
47,American_Goldfinch,Fringillidae,Passeriformes
48,European_Goldfinch,Fringillidae,Passeriformes
49,Boat_tailed_Grackle,Icteridae,Passeriformes
50,Eared_Grebe,Podicipedidae,Podicipediformes
51,Horned_Grebe,Podicipedidae,Podicipediformes
52,Pied_billed_Grebe,Podicipedidae,Podicipediformes
53,Western_Grebe,Podicipedidae,Podicipediformes
54,Blue_Grosbeak,Cardinalidae,Passeriformes
55,Evening_Grosbeak,Fringillidae,Passeriformes
56,Pine_Grosbeak,Fringillidae,Passeriformes
57,Rose_breasted_Grosbeak,Cardinalidae,Passeriformes
58,Pigeon_Guillemot,Alcidae,Charadriiformes
59,California_Gull,Laridae,Charadriiformes
60,Glaucous_winged_Gull,Laridae,Charadriiformes
61,Heermann_Gull,Laridae,Charadriiformes
62,Herring_Gull,Laridae,Charadriiformes
63,Ivory_Gull,Laridae,Charadriiformes
64,Ring_billed_Gull,Laridae,Charadriiformes
65,Slaty_backed_Gull,Laridae,Charadriiformes
66,Western_Gull,Laridae,Charadriiformes
67,Anna_Hummingbird,Trochilidae,Apodiformes
68,Ruby_throated_Hummingbird,Trochilidae,Apodiformes
69,Rufous_Hummingbird,Trochilidae,Apodiformes
70,Green_Violet_ear,Trochilidae,Apodiformes
71,Long_tailed_Jaeger,Stercorariidae,Charadriiformes
72,Pomarine_Jaeger,Stercorariidae,Charadriiformes
73,Blue_Jay,Corvidae,Passeriformes
74,Florida_Jay,Corvidae,Passeriformes
75,Green_Jay,Corvidae,Passeriformes
76,Dark_eyed_Junco,Emberizidae,Passeriformes
77,Tropical_Kingbird,Tyrannidae,Passeriformes
78,Gray_Kingbird,Tyrannidae,Passeriformes
79,Belted_Kingfisher,Alcedinidae,Coraciiformes
80,Green_Kingfisher,Alcedinidae,Coraciiformes
81,Pied_Kingfisher,Alcedinidae,Coraciiformes
82,Ringed_Kingfisher,Alcedinidae,Coraciiformes
83,White_breasted_Kingfisher,Alcedinidae,Coraciiformes
84,Red_legged_Kittiwake,Laridae,Charadriiformes
85,Horned_Lark,Alaudidae,Passeriformes
86,Pacific_Loon,Gaviidae,Gaviiformes
87,Mallard,Anatidae,Anseriformes
88,Western_Meadowlark,Icteridae,Passeriformes
89,Hooded_Merganser,Anatidae,Anseriformes
90,Red_breasted_Merganser,Anatidae,Anseriformes
91,Mockingbird,Mimidae,Passeriformes
92,Nighthawk,Caprimulgidae,Caprimulgiformes
93,Clark_Nutcracker,Corvidae,Passeriformes
94,White_breasted_Nuthatch,Sittidae,Passeriformes
95,Baltimore_Oriole,Icteridae,Passeriformes
96,Hooded_Oriole,Icteridae,Passeriformes
97,Orchard_Oriole,Icteridae,Passeriformes
98,Scott_Oriole,Icteridae,Passeriformes
99,Ovenbird,Parulidae,Passeriformes
100,Brown_Pelican,Pelecanidae,Pelecaniformes
101,White_Pelican,Pelecanidae,Pelecaniformes
102,Western_Wood_Pewee,Tyrannidae,Passeriformes
103,Sayornis,Tyrannidae,Passeriformes
104,American_Pipit,Motacillidae,Passeriformes
105,Whip_poor_Will,Caprimulgidae,Caprimulgiformes
106,Horned_Puffin,Alcidae,Charadriiformes
107,Common_Raven,Corvidae,Passeriformes
108,White_necked_Raven,Corvidae,Passeriformes
109,American_Redstart,Parulidae,Passeriformes
110,Geococcyx,Cuculidae,Cuculiformes
111,Loggerhead_Shrike,Laniidae,Passeriformes
112,Great_Grey_Shrike,Laniidae,Passeriformes
113,Baird_Sparrow,Passerellidae,Passeriformes
114,Black_throated_Sparrow,Passerellidae,Passeriformes
115,Brewer_Sparrow,Passerellidae,Passeriformes
116,Chipping_Sparrow,Passerellidae,Passeriformes
117,Clay_colored_Sparrow,Passerellidae,Passeriformes
118,House_Sparrow,Passeridae,Passeriformes
119,Field_Sparrow,Passerellidae,Passeriformes
120,Fox_Sparrow,Passerellidae,Passeriformes
121,Grasshopper_Sparrow,Passerellidae,Passeriformes
122,Harris_Sparrow,Passerellidae,Passeriformes
123,Henslow_Sparrow,Passerellidae,Passeriformes
124,Le_Conte_Sparrow,Passerellidae,Passeriformes
125,Lincoln_Sparrow,Passerellidae,Passeriformes
126,Nelson_Sharp_tailed_Sparrow,Passerellidae,Passeriformes
127,Savannah_Sparrow,Passerellidae,Passeriformes
128,Seaside_Sparrow,Passerellidae,Passeriformes
129,Song_Sparrow,Passerellidae,Passeriformes
130,Tree_Sparrow,Passerellidae,Passeriformes
131,Vesper_Sparrow,Passerellidae,Passeriformes
132,White_crowned_Sparrow,Passerellidae,Passeriformes
133,White_throated_Sparrow,Passerellidae,Passeriformes
134,Cape_Glossy_Starling,Sturnidae,Passeriformes
135,Bank_Swallow,Hirundinidae,Passeriformes
136,Barn_Swallow,Hirundinidae,Passeriformes
137,Cliff_Swallow,Hirundinidae,Passeriformes
138,Tree_Swallow,Hirundinidae,Passeriformes
139,Scarlet_Tanager,Cardinalidae,Passeriformes
140,Summer_Tanager,Cardinalidae,Passeriformes
141,Arctic_Tern,Laridae,Charadriiformes
142,Black_Tern,Laridae,Charadriiformes
143,Caspian_Tern,Laridae,Charadriiformes
144,Common_Tern,Laridae,Charadriiformes
145,Elegant_Tern,Laridae,Charadriiformes
146,Forsters_Tern,Laridae,Charadriiformes
147,Least_Tern,Laridae,Charadriiformes
148,Green_tailed_Towhee,Passerellidae,Passeriformes
149,Brown_Thrasher,Mimidae,Passeriformes
150,Sage_Thrasher,Mimidae,Passeriformes
151,Black_capped_Vireo,Vireonidae,Passeriformes
152,Blue_headed_Vireo,Vireonidae,Passeriformes
153,Philadelphia_Vireo,Vireonidae,Passeriformes
154,Red_eyed_Vireo,Vireonidae,Passeriformes
155,Warbling_Vireo,Vireonidae,Passeriformes
156,White_eyed_Vireo,Vireonidae,Passeriformes
157,Yellow_throated_Vireo,Vireonidae,Passeriformes
158,Bay_breasted_Warbler,Parulidae,Passeriformes
159,Black_and_white_Warbler,Parulidae,Passeriformes
160,Black_throated_Blue_Warbler,Parulidae,Passeriformes
161,Blue_winged_Warbler,Parulidae,Passeriformes
162,Canada_Warbler,Parulidae,Passeriformes
163,Cape_May_Warbler,Parulidae,Passeriformes
164,Cerulean_Warbler,Parulidae,Passeriformes
165,Chestnut_sided_Warbler,Parulidae,Passeriformes
166,Golden_winged_Warbler,Parulidae,Passeriformes
167,Hooded_Warbler,Parulidae,Passeriformes
168,Kentucky_Warbler,Parulidae,Passeriformes
169,Magnolia_Warbler,Parulidae,Passeriformes
170,Mourning_Warbler,Parulidae,Passeriformes
171,Myrtle_Warbler,Parulidae,Passeriformes
172,Nashville_Warbler,Parulidae,Passeriformes
173,Orange_crowned_Warbler,Parulidae,Passeriformes
174,Palm_Warbler,Parulidae,Passeriformes
175,Pine_Warbler,Parulidae,Passeriformes
176,Prairie_Warbler,Parulidae,Passeriformes
177,Prothonotary_Warbler,Parulidae,Passeriformes
178,Swainson_Warbler,Parulidae,Passeriformes
179,Tennessee_Warbler,Parulidae,Passeriformes
180,Wilson_Warbler,Parulidae,Passeriformes
181,Worm_eating_Warbler,Parulidae,Passeriformes
182,Yellow_Warbler,Parulidae,Passeriformes
183,Northern_Waterthrush,Parulidae,Passeriformes
184,Louisiana_Waterthrush,Parulidae,Passeriformes
185,Bohemian_Waxwing,Bombycillidae,Passeriformes
186,Cedar_Waxwing,Bombycillidae,Passeriformes
187,American_Three_toed_Woodpecker,Picidae,Piciformes
188,Pileated_Woodpecker,Picidae,Piciformes
189,Red_bellied_Woodpecker,Picidae,Piciformes
190,Red_cockaded_Woodpecker,Picidae,Piciformes
191,Red_headed_Woodpecker,Picidae,Piciformes
192,Downy_Woodpecker,Picidae,Piciformes
193,Bewick_Wren,Troglodytidae,Passeriformes
194,Cactus_Wren,Troglodytidae,Passeriformes
195,Carolina_Wren,Troglodytidae,Passeriformes
196,House_Wren,Troglodytidae,Passeriformes
197,Marsh_Wren,Troglodytidae,Passeriformes
198,Rock_Wren,Troglodytidae,Passeriformes
199,Winter_Wren,Troglodytidae,Passeriformes
200,Common_Yellowthroat,Parulidae,Passeriformes
